 ,Stitch's Great Escape!,"Monsters, Inc. Laugh Floor",Walt Disney's Enchanted Tiki Room,The Barnstormer,Under the Sea - Journey of The Little Mermaid,Seven Dwarfs Mine Train ,Astro Orbiter,Big Thunder Mountain Railroad,Buzz Lightyear's Space Ranger Spin,Prince Charming Regal Carrousel,Dumbo the Flying Elephant,it's a small world,Jungle Cruise,Liberty Square Riverboat,Mad Tea Party,Mickey's PhilharMagic,Peter Pan's Flight,Pirates of the Caribbean,Space Mountain,Splash Mountain,Haunted Mansion,The Magic Carpets of Aladdin,The Many Adventures of Winnie the Pooh,Tomorrowland Speedway,Tomorrowland Transit Authority PeopleMover,Walt Disney's Carousel of Progress,Country Bear Jamboree,The Hall of Presidents
2017-05-18 00:10:00 +0000,0,10,0,10,10,60,20,35,40,0,15,15,80,0,5,5,80,20,80,35,25,15,30,30,10,5,0,0
2017-05-18 00:20:00 +0000,0,10,0,10,10,70,20,25,25,0,15,15,50,0,10,5,70,20,80,35,20,15,20,20,10,5,0,0
2017-05-18 00:40:00 +0000,0,10,0,10,10,70,20,25,20,0,15,15,15,0,5,5,55,15,70,40,10,15,15,30,10,5,0,0
2017-05-18 00:50:00 +0000,0,10,0,10,5,70,20,20,10,0,10,15,5,0,5,5,35,10,55,35,10,5,15,30,10,5,0,0
2017-05-18 01:00:00 +0000,0,10,0,5,10,20,20,10,5,0,10,10,5,0,5,5,10,5,45,35,10,5,5,30,10,5,0,0
2017-05-18 01:20:00 +0000,0,10,0,5,5,20,20,15,10,0,10,10,5,0,5,5,20,5,15,20,10,5,10,30,10,5,0,0
2017-05-18 01:30:00 +0000,0,10,0,5,5,50,20,30,25,0,10,10,10,0,5,5,50,10,40,25,15,5,15,20,10,5,0,0
2017-05-18 01:40:00 +0000,0,10,0,5,5,50,20,35,30,0,10,10,30,0,5,5,65,10,70,40,15,10,25,20,10,5,0,0
2017-05-18 02:00:00 +0000,0,10,0,5,5,40,20,25,15,0,15,10,30,0,5,5,45,10,70,40,10,10,15,20,10,5,0,0
2017-05-18 02:10:00 +0000,0,10,0,5,5,50,20,10,15,0,15,10,0,0,5,5,30,5,35,0,15,10,20,20,0,0,0,0
2017-05-18 02:20:00 +0000,0,10,0,5,5,30,20,20,10,0,15,10,0,0,5,5,25,20,30,0,15,10,20,40,0,0,0,0
2017-05-18 02:40:00 +0000,0,10,0,5,5,40,20,20,10,0,10,10,0,0,5,5,35,10,30,0,20,10,25,30,0,0,0,0
2017-05-18 02:50:00 +0000,0,10,0,5,10,40,20,20,10,0,10,10,0,0,5,5,30,10,45,0,20,10,20,30,0,0,0,0
2017-05-18 03:00:00 +0000,0,0,0,5,5,30,20,20,15,0,10,10,0,0,5,5,30,10,35,0,15,10,20,20,0,0,0,0
2017-05-18 03:20:00 +0000,0,0,0,5,5,20,20,15,10,0,15,10,0,0,5,5,25,15,30,0,10,10,0,20,0,0,0,0
2017-05-18 03:30:00 +0000,0,0,0,5,5,20,20,10,10,0,10,10,0,0,5,5,25,10,15,0,10,10,10,20,0,0,0,0
2017-05-18 03:40:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 04:00:00 +0000,0,0,0,5,10,30,20,10,5,0,10,10,0,0,5,5,10,5,10,0,10,10,5,20,0,0,0,0
2017-05-18 04:10:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 04:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 04:40:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 04:50:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 05:00:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 05:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 05:30:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 05:40:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 06:00:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 06:10:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 06:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 06:40:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 06:50:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 07:00:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 07:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 07:30:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 07:50:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18 08:00:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
