"05:00,Feb,Mickey's PhilharMagic,weekday",0.625
"Peter Pan's Flight,05:00,Feb,weekday",1.666666667
"Pirates of the Caribbean,05:00,Feb,weekday",0.104166667
"Space Mountain,05:00,Feb,weekday",1.145833333
"Splash Mountain,05:00,Feb,weekday",0.104166667
"Haunted Mansion,05:00,Feb,weekday",0.208333333
"The Magic Carpets of Aladdin,05:00,Feb,weekday",0.208333333
"The Many Adventures of Winnie the Pooh,05:00,Feb,weekday",1.354166667
"Tomorrowland Speedway,05:00,Feb,weekday",0.416666667
"Tomorrowland Transit Authority PeopleMover,05:00,Feb,weekday",0
"Walt Disney's Carousel of Progress,05:00,Feb,weekday",0
"Country Bear Jamboree,05:00,Feb,weekday",0
"05:00,Feb,The Hall of Presidents,weekday",0
"Monsters, Inc. Laugh Floor,Feb,05:30,weekday",0
"Walt Disney's Enchanted Tiki Room,Feb,05:30,weekday",0
"The Barnstormer,Feb,05:30,weekday",1.25
"Under the Sea - Journey of The Little Mermaid,Feb,05:30,weekday",3.229166667
"Seven Dwarfs Mine Train ,Feb,05:30,weekday",15.72916667
"Astro Orbiter,Feb,05:30,weekday",3.4375
"Big Thunder Mountain Railroad,Feb,05:30,weekday",0.833333333
"Buzz Lightyear's Space Ranger Spin,Feb,05:30,weekday",1.770833333
"Prince Charming Regal Carrousel,Feb,05:30,weekday",1.041666667
"Dumbo the Flying Elephant,Feb,05:30,weekday",2.395833333
"it's a small world,Feb,05:30,weekday",3.333333333
"Jungle Cruise,Feb,05:30,weekday",0.625
"Liberty Square Riverboat,Feb,05:30,weekday",0
"Mad Tea Party,Feb,05:30,weekday",1.666666667
"Mickey's PhilharMagic,Feb,05:30,weekday",2.083333333
"Peter Pan's Flight,Feb,05:30,weekday",10.3125
"Pirates of the Caribbean,Feb,05:30,weekday",0.625
"Space Mountain,Feb,05:30,weekday",4.270833333
"Splash Mountain,Feb,05:30,weekday",0.625
"Haunted Mansion,Feb,05:30,weekday",1.208333333
"The Magic Carpets of Aladdin,Feb,05:30,weekday",0.9375
"The Many Adventures of Winnie the Pooh,Feb,05:30,weekday",4.583333333
"Tomorrowland Speedway,Feb,05:30,weekday",1.979166667
"Tomorrowland Transit Authority PeopleMover,Feb,05:30,weekday",0.104166667
"Walt Disney's Carousel of Progress,Feb,05:30,weekday",0
"Country Bear Jamboree,Feb,05:30,weekday",0
"The Hall of Presidents,Feb,05:30,weekday",0
"Monsters, Inc. Laugh Floor,Feb,06:00,weekday",0.208333333
