Prince Charming Regal Carrousel,Tomorrowland Speedway,170
Prince Charming Regal Carrousel,Tomorrowland Transit Authority PeopleMover,268
Prince Charming Regal Carrousel,Under the Sea - Journey of The Little Mermaid,164
Prince Charming Regal Carrousel,Walt Disney's Carousel of Progress,277
Prince Charming Regal Carrousel,Walt Disney's Enchanted Tiki Room,312
Prince Charming Regal Carrousel,it's a small world,63
Seven Dwarfs Mine Train,Space Mountain,802
Seven Dwarfs Mine Train,Splash Mountain,403
Seven Dwarfs Mine Train,The Barnstormer,196
Seven Dwarfs Mine Train,The Hall of Presidents,178
Seven Dwarfs Mine Train,The Magic Carpets of Aladdin,329
Seven Dwarfs Mine Train,The Many Adventures of Winnie the Pooh,44
Seven Dwarfs Mine Train,Tomorrowland Speedway,146
Seven Dwarfs Mine Train,Tomorrowland Transit Authority PeopleMover,258
Seven Dwarfs Mine Train,Under the Sea - Journey of The Little Mermaid,175
Seven Dwarfs Mine Train,Walt Disney's Carousel of Progress,284
Seven Dwarfs Mine Train,Walt Disney's Enchanted Tiki Room,375
Seven Dwarfs Mine Train,it's a small world,132
Space Mountain,Splash Mountain,951
Space Mountain,The Barnstormer,899
Space Mountain,The Hall of Presidents,759
Space Mountain,The Magic Carpets of Aladdin,782
Space Mountain,The Many Adventures of Winnie the Pooh,794
Space Mountain,Tomorrowland Speedway,796
Space Mountain,Tomorrowland Transit Authority PeopleMover,759
Space Mountain,Under the Sea - Journey of The Little Mermaid,946
Space Mountain,Walt Disney's Carousel of Progress,767
Space Mountain,Walt Disney's Enchanted Tiki Room,828
Space Mountain,it's a small world,825
Splash Mountain,The Barnstormer,583
Splash Mountain,The Hall of Presidents,226
Splash Mountain,The Magic Carpets of Aladdin,178
Splash Mountain,The Many Adventures of Winnie the Pooh,431
Splash Mountain,Tomorrowland Speedway,484
Splash Mountain,Tomorrowland Transit Authority PeopleMover,497
Splash Mountain,Under the Sea - Journey of The Little Mermaid,544
Splash Mountain,Walt Disney's Carousel of Progress,505
Splash Mountain,Walt Disney's Enchanted Tiki Room,189
Splash Mountain,it's a small world,308
The Barnstormer,The Hall of Presidents,344
The Barnstormer,The Magic Carpets of Aladdin,454
The Barnstormer,The Many Adventures of Winnie the Pooh,157
The Barnstormer,Tomorrowland Speedway,173
The Barnstormer,Tomorrowland Transit Authority PeopleMover,288
The Barnstormer,Under the Sea - Journey of The Little Mermaid,153
The Barnstormer,Walt Disney's Carousel of Progress,318
The Barnstormer,Walt Disney's Enchanted Tiki Room,500
The Barnstormer,it's a small world,304
The Hall of Presidents,The Magic Carpets of Aladdin,156
The Hall of Presidents,The Many Adventures of Winnie the Pooh,198
The Hall of Presidents,Tomorrowland Speedway,251
The Hall of Presidents,Tomorrowland Transit Authority PeopleMover,280
The Hall of Presidents,Under the Sea - Journey of The Little Mermaid,310
The Hall of Presidents,Walt Disney's Carousel of Progress,288
The Hall of Presidents,Walt Disney's Enchanted Tiki Room,182
The Hall of Presidents,it's a small world,105
The Magic Carpets of Aladdin,The Many Adventures of Winnie the Pooh,346
The Magic Carpets of Aladdin,Tomorrowland Speedway,357
The Magic Carpets of Aladdin,Tomorrowland Transit Authority PeopleMover,337
The Magic Carpets of Aladdin,Under the Sea - Journey of The Little Mermaid,458
The Magic Carpets of Aladdin,Walt Disney's Carousel of Progress,345
The Magic Carpets of Aladdin,Walt Disney's Enchanted Tiki Room,34
The Magic Carpets of Aladdin,it's a small world,249
The Many Adventures of Winnie the Pooh,Tomorrowland Speedway,102
The Many Adventures of Winnie the Pooh,Tomorrowland Transit Authority PeopleMover,214
The Many Adventures of Winnie the Pooh,Under the Sea - Journey of The Little Mermaid,192
The Many Adventures of Winnie the Pooh,Walt Disney's Carousel of Progress,240
The Many Adventures of Winnie the Pooh,Walt Disney's Enchanted Tiki Room,384
